YEAR,SQUARE,SITE_ID,SAMPLE_DATE,WATER_WIDTH,DEPTH1,DEPTH2,DEPTH3,SURF_VEL_CAT,ROCK_PAVEMT,BOULDER_COBBLE,PEBBLE_GRAVEL,SAND,SILT_CLAY,DOM_PART_SIZE,MACROPHYTE_COVER,LC07,EZ_DESC_07,LC07_NUM,COUNTRY,COUNTY07
1998,MGCMFH,1,09-Sep-98,7,150,150,60,1,0,0,0,0,100,8,35,3e,Easterly lowlands (England),3,ENG,Suffolk
1998,FRDJSC,1,26-Nov-98,3.8,50,100,100,3,0,0,0,0,100,8,6,15w,Lowlands (Wales),44,WAL,Dyfed
1998,RBTFVD,1,27-Nov-98,1.1,15,10,10,3,0,65,30,3,2,-7.75,0,17w2,Uplands (Wales),18,WAL,Powys
1998,OMJWBQ,1,29-Oct-98,1.1,14,18,14,4,0,0,0,0,100,8,80,17w3,Uplands (Wales),19,WAL,Powys
1998,VFCIBD,1,14-Oct-98,3.2,20,20,25,1,0,5,20,0,75,6.5,0,1e,Westerly lowlands (England),1,ENG,County of Herefordshire Unitary Authority
1998,CHQQXO,1,27-Oct-98,2.57,16,10,15,3,0,3,75,7,15,-3.25,50,1e,Westerly lowlands (England),1,ENG,Worcestershire
1998,KDQIHG,1,27-Aug-98,0.32,3,2,3,1,0,0,40,0,60,8,0,1e,Westerly lowlands (England),1,ENG,Warwickshire
1998,ZBTLJG,1,03-Nov-98,0.8,10,14,12,2,0,0,0,0,100,8,2,1e,Westerly lowlands (England),1,ENG,Warwickshire
1998,WGFZAS,1,09-Jun-98,1,9,9,8,1,0,0,2,78,20,2,0,12e,Easterly lowlands (England),12,ENG,Cambridgeshire
1998,AXIHWL,1,09-Jun-98,8,5,150,150,1,0,0,3,17,80,8,10,3e,Easterly lowlands (England),3,ENG,Cambridgeshire
1998,WHKFUF,1,09-Sep-98,3,6,10,5,3,0,20,60,20,0,-4.5,0,15w,Lowlands (Wales),44,WAL,Dyfed
1998,WMVFVV,1,27-Nov-98,1.5,15,17,7,4,0,0,100,0,0,-3.25,0,17w2,Uplands (Wales),18,WAL,Dyfed
1998,QEYKPU,1,29-Oct-98,1.9,8,9,10,4,0,70,30,0,0,-7.75,0,17w2,Uplands (Wales),18,WAL,Powys
1998,FLWHQO,1,05-Nov-98,2.15,15,21,14,4,0,50,38,10,2,-7.75,0,17e,Uplands (England),16,ENG,Shropshire
1998,YBDBIN,1,05-Nov-98,1.35,15,12,14,3,0,12,65,20,3,-3.25,0,1e,Westerly lowlands (England),1,ENG,Worcestershire
1998,EBWPRA,1,09-Jun-98,0.9,20,25,18,1,0,0,0,3,97,8,20,11e,Easterly lowlands (England),11,ENG,Northamptonshire
1998,HMPTVZ,1,10-Sep-98,2.1,21,25,11,1,0,0,90,0,10,-3.25,1,3e,Easterly lowlands (England),3,ENG,Cambridgeshire
1998,IHJGEC,1,02-Dec-98,0.4,10,5,5,3,0,35,45,0,20,-3.25,0,17w2,Uplands (Wales),18,WAL,Powys
1998,TGNTVD,1,04-Nov-98,2.15,35,55,45,3,0,0,3,0,97,8,65,15w,Lowlands (Wales),44,WAL,Powys
1998,MDFNRP,1,04-Nov-98,1.1,15,25,22,4,0,27,70,3,0,-3.25,0,17e,Uplands (England),16,ENG,Shropshire
1998,XZZAGX,1,25-Nov-98,10,50,65,45,4,0,5,75,20,0,-3.25,0,9e,Easterly lowlands (England),9,ENG,West Midlands
1998,IUKPTW,1,16-Jun-98,3,50,120,75,1,0,0,0,0,100,8,80,12e,Easterly lowlands (England),12,ENG,Northamptonshire
1998,ROACVK,1,16-Jun-98,1,19,19,19,1,0,0,100,0,0,2,100,12e,Easterly lowlands (England),12,ENG,Cambridgeshire
1998,GNVOHN,1,16-Jun-98,3,80,150,150,1,0,0,0,0,100,8,30,8e,Westerly lowlands (England),8,ENG,Cambridgeshire
1998,AHKTWX,1,06-Oct-98,1.75,35,35,40,3,0,0,0,95,5,2,65,3e,Easterly lowlands (England),3,ENG,Norfolk
1998,MZWJCL,1,28-Oct-98,12.5,16,16,20,4,0,85,15,0,0,-9,0,15w,Lowlands (Wales),44,WAL,Gwynedd
1998,PAMHOJ,1,09-Sep-98,0.75,5,5,2,2,0,10,80,10,0,-4.5,0,17w3,Uplands (Wales),19,WAL,Powys
1998,RBWKUY,1,08-Sep-98,6.5,30,48,33,3,0,85,10,5,0,-6.5,5,17w2,Uplands (Wales),18,WAL,Powys
1998,QPNACB,1,03-Nov-98,1.78,10,14,4,3,0,4,53,3,40,-3.25,0,10e,Westerly lowlands (England),10,ENG,Shropshire
1998,HGYGDM,1,28-Oct-98,0.6,15,15,12,2,0,6,0,0,94,8,40,10e,Westerly lowlands (England),10,ENG,Shropshire
1998,NHQOBM,1,06-Oct-98,5.9,10,15,9,3,0,10,75,15,0,-4.5,2,9e,Easterly lowlands (England),9,ENG,Leicestershire
1998,GJPXMP,1,09-Sep-98,1.08,10,14,8,1,0,0,0,0,100,8,1,4e,Easterly lowlands (England),4,ENG,Norfolk
1998,IRWYUZ,1,09-Sep-98,0.85,4,7,4,1,0,0,0,0,100,8,70,3e,Easterly lowlands (England),3,ENG,Norfolk
1998,YUGUQF,1,06-Oct-98,2,50,50,50,1,0,0,0,0,100,8,50,4e,Easterly lowlands (England),4,ENG,Norfolk
1998,KFACFB,1,19-Aug-98,2.3,58,28,43,2,0,0,0,0,100,6.5,92,17w3,Uplands (Wales),19,WAL,Gwynedd
1998,EFZSHR,1,24-Nov-98,7,52,45,50,4,0,90,10,0,0,-6.5,0,18w,Uplands (Wales),45,WAL,Gwynedd
1998,GXZDXP,1,08-Sep-98,1.5,10,8,15,3,20,70,25,5,0,-9,0,18w,Uplands (Wales),45,WAL,Powys
1998,QQXUFX,1,18-Aug-98,0.6,1,2,1,2,0,35,50,0,15,-4.5,0,17w1,Uplands (Wales),17,WAL,Powys
1998,HLPOPT,1,25-Nov-98,5,90,90,88,3,0,0,0,0,100,8,20,10e,Westerly lowlands (England),10,ENG,Telford and Wrekin Unitary Authority
1998,GPOWBR,1,24-Aug-98,0.45,3,5,3,3,0,42,30,0,28,-6.5,0,10e,Westerly lowlands (England),10,ENG,Derbyshire
1998,ZWSOED,1,22-Oct-98,1.75,5,2,1,4,0,0,50,50,0,-3.25,5,11e,Easterly lowlands (England),11,ENG,Lincolnshire
1998,URCWKY,1,17-Jun-98,5,75,100,100,1,0,0,0,5,95,8,2,12e,Easterly lowlands (England),12,ENG,Lincolnshire
1998,JXGMRG,1,10-Sep-98,0.6,3,8,5,1,0,0,0,0,100,8,90,3e,Easterly lowlands (England),3,ENG,Norfolk
