dataset_id,species,species_original,species.new,corrected,comment,checked
alston_2021c,Commelina_africana,Commelina_africana,Commelina_africana,0,NA,1
alston_2021c,Commelina_benghalensis,Commelina_benghalensis,Commelina_benghalensis,0,NA,1
alston_2021c,Commelina_erecta,Commelina_erecta,Commelina_erecta,0,NA,1
alston_2021c,Commelina_reptans,Commelina_reptans,Commelina_reptans,0,NA,1
alston_2021c,Commicarpus_pedunculosus,Commicarpus_pedunculosus,Commicarpus_pedunculosus,0,NA,1
alston_2021c,Commiphora_habessinica,Commiphora_habessinica,Commiphora_habessinica,0,NA,1
alston_2021c,Commiphora_schimperi,Commiphora_schimperi,Commiphora_schimperi,0,NA,1
alston_2021c,Crabbea_velutina,Crabbea_velutina,Crabbea_velutina,0,NA,1
alston_2021c,Crassula_schimperi,Crassula_schimperi,Crassula_schimperi,0,NA,1
alston_2021c,Crassula_schimperi_&_Portulaca_parensis_&_Portulaca_quadrifida,Crassula_schimperi_&_Portulaca_parensis_&_Portulaca_quadrifida,Crassula_schimperi_&_Portulaca_parensis_&_Portulaca_quadrifida,0,NA,1
alston_2021c,Crassula_volkensii,Crassula_volkensii,Crassula_volkensii,0,NA,1
alston_2021c,Craterostigma,Craterostigma,Craterostigma,0,NA,1
alston_2021c,Craterostigma_hirsutum,Craterostigma_hirsutum,Craterostigma_hirsutum,0,NA,1
alston_2021c,Crotalaria_vallicola,Crotalaria_vallicola,Crotalaria_vallicola,0,NA,1
alston_2021c,Croton_dichogamous,Croton_dichogamous,Croton_dichogamous,0,NA,1
alston_2021c,Cucumis_aculeatus,Cucumis_aculeatus,Cucumis_aculeatus,0,NA,1
alston_2021c,Cyanotis_foecunda,Cyanotis_foecunda,Cyanotis_foecunda,0,NA,1
alston_2021c,Cymbopogon_commutatus,Cymbopogon_commutatus,Cymbopogon_commutatus,0,NA,1
alston_2021c,Cynanchum_gerrardii,Cynanchum_gerrardii,Cynanchum_gerrardii,0,NA,1
alston_2021c,Cynanchum_viminale,Cynanchum_viminale,Cynanchum_viminale,0,NA,1
alston_2021c,Cynanchum_viminale_&_Cynanchum_gerrardii,Cynanchum_viminale_&_Cynanchum_gerrardii,Cynanchum_viminale_&_Cynanchum_gerrardii,0,NA,1
alston_2021c,Cynodon_nlemfuensis,Cynodon_nlemfuensis,Cynodon_nlemfuensis,0,NA,1
alston_2021c,Cynodon_nlemfuensis_&_Digitaria_macroblephara,Cynodon_nlemfuensis_&_Digitaria_macroblephara,Cynodon_nlemfuensis_&_Digitaria_macroblephara,0,NA,1
alston_2021c,Cynodon_plectostachyus,Cynodon_plectostachyus,Cynodon_plectostachyus,0,NA,1
alston_2021c,Cyperus_amauropus,Cyperus_amauropus,Cyperus_amauropus,0,NA,1
alston_2021c,Cyperus_blysmoides,Cyperus_blysmoides,Cyperus_blysmoides,0,NA,1
