"park","plot","visit","quadrat","genus_species","occurrence"
"Kakadu","1","T5","94","Scleria annularis",10
"Kakadu","1","T5","96","Capillipedium parviflorum",15
"Kakadu","1","T5","96","Fimbristylis complanata",2
"Kakadu","1","T5","96","Fimbristylis dichotoma",2
"Kakadu","1","T5","96","Ischaemum australe",70
"Kakadu","1","T5","96","Scleria annularis",1
"Kakadu","1","T5","98","Fimbristylis complanata",5
"Kakadu","1","T5","98","Ischaemum australe",70
"Kakadu","1","T5","98","Sorghum plumosum",2
"Kakadu","2","T1","0","Digitaria gibbosa",1
"Kakadu","2","T1","0","Flemingia parviflora",1
"Kakadu","2","T1","0","Flemingia sp.",1
"Kakadu","2","T1","0","Goodenia armstrongiana",1
"Kakadu","2","T1","0","Gossypium cunninghamii",1
"Kakadu","2","T1","0","Heteropogon triticeus",1
"Kakadu","2","T1","0","Marsdenia viridiflora subsp. tropica",1
"Kakadu","2","T1","0","Polygala coralliformis",1
"Kakadu","2","T1","0","Sorghum intrans",1
"Kakadu","2","T1","0","Tephrosia remotiflora",1
"Kakadu","2","T1","2","Anisomeles malabarica",1
"Kakadu","2","T1","2","Galactia tenuiflora",1
"Kakadu","2","T1","2","Goodenia armstrongiana",1
"Kakadu","2","T1","2","Polygala coralliformis",1
"Kakadu","2","T1","2","Sorghum intrans",40
"Kakadu","2","T1","2","Tephrosia remotiflora",1
"Kakadu","2","T1","2","Vigna lanceolata",1
"Kakadu","2","T1","4","Alloteropsis semialata",1
"Kakadu","2","T1","4","Flemingia parviflora",1
"Kakadu","2","T1","4","Heteropogon triticeus",10
"Kakadu","2","T1","4","Ipomoea diversifolia",1
"Kakadu","2","T1","4","Sorghum intrans",1
"Kakadu","2","T1","4","Tephrosia remotiflora",1
"Kakadu","2","T1","6","Alloteropsis semialata",5
"Kakadu","2","T1","6","Cartonema spicatum",1
"Kakadu","2","T1","6","Flemingia parviflora",1
"Kakadu","2","T1","6","Flemingia sp.",1
"Kakadu","2","T1","6","Goodenia armstrongiana",1
"Kakadu","2","T1","6","Sorghum intrans",5
"Kakadu","2","T1","6","Tephrosia remotiflora",1
"Kakadu","2","T1","8","Alloteropsis semialata",1
"Kakadu","2","T1","8","Flemingia parviflora",20
"Kakadu","2","T1","8","Goodenia armstrongiana",1
"Kakadu","2","T1","8","Heteropogon triticeus",5
"Kakadu","2","T1","8","Sorghum intrans",20
"Kakadu","2","T1","8","Tephrosia remotiflora",1
"Kakadu","2","T1","8","Vigna lanceolata",1
"Kakadu","2","T1","10","Alloteropsis semialata",10
"Kakadu","2","T1","10","Cartonema spicatum",10
"Kakadu","2","T1","10","Flemingia parviflora",5
"Kakadu","2","T1","10","Goodenia armstrongiana",1
"Kakadu","2","T1","10","Heteropogon triticeus",5
"Kakadu","2","T1","10","Sorghum intrans",10
"Kakadu","2","T1","10","Tephrosia remotiflora",1
"Kakadu","2","T1","12","Alloteropsis semialata",5
"Kakadu","2","T1","12","Flemingia parviflora",5
"Kakadu","2","T1","12","Goodenia armstrongiana",10
"Kakadu","2","T1","12","Heteropogon triticeus",5
"Kakadu","2","T1","12","Sorghum intrans",10
"Kakadu","2","T1","14","Alloteropsis semialata",10
"Kakadu","2","T1","14","Ampelocissus acetosa",1
"Kakadu","2","T1","14","Flemingia parviflora",1
"Kakadu","2","T1","14","Flemingia sp.",1
"Kakadu","2","T1","14","Goodenia armstrongiana",5
"Kakadu","2","T1","14","Polygala coralliformis",1
"Kakadu","2","T1","14","Sorghum intrans",10
"Kakadu","2","T1","14","Vigna lanceolata",1
"Kakadu","2","T1","16","Alloteropsis semialata",5
"Kakadu","2","T1","16","Cartonema spicatum",1
"Kakadu","2","T1","16","Commelina ensifolia",1
"Kakadu","2","T1","16","Digitaria gibbosa",1
"Kakadu","2","T1","16","Flemingia parviflora",10
"Kakadu","2","T1","16","Flemingia sp.",1
"Kakadu","2","T1","16","Goodenia armstrongiana",1
"Kakadu","2","T1","16","Heteropogon triticeus",10
"Kakadu","2","T1","16","Hibbertia complanata",1
"Kakadu","2","T1","16","Ipomoea diversifolia",1
"Kakadu","2","T1","16","Polygala coralliformis",1
"Kakadu","2","T1","16","Sorghum intrans",10
"Kakadu","2","T1","16","Spermacoce leptoloba",1
"Kakadu","2","T1","16","Vigna lanceolata",1
"Kakadu","2","T1","18","Cartonema spicatum",1
