"park","plot","visit","quadrat","genus_species","occurrence"
"Nitmiluk","1","T2","3","Euphorbia armstrongiana",1
"Nitmiluk","1","T2","3","Heliotropium ventricosum",1
"Nitmiluk","1","T2","3","Heteropogon contortus",2
"Nitmiluk","1","T2","3","Sorghum timorense",40
"Nitmiluk","1","T2","3","Trianthema rhynchocalyptrum",1
"Nitmiluk","1","T2","4","Crotalaria brevis",1
"Nitmiluk","1","T2","4","Sorghum timorense",20
"Nitmiluk","1","T2","4","Themeda triandra",10
"Nitmiluk","1","T2","5","Mnesithea formosa",5
"Nitmiluk","1","T2","5","Sorghum timorense",20
"Nitmiluk","1","T2","6","Crotalaria brevis",1
"Nitmiluk","1","T2","6","Desmodium glareosum",1
"Nitmiluk","1","T2","6","Evolvulus alsinoides",1
"Nitmiluk","1","T2","6","Mnesithea formosa",1
"Nitmiluk","1","T2","6","Sorghum timorense",15
"Nitmiluk","1","T2","6","Themeda triandra",2
"Nitmiluk","1","T2","7","Boerhavia dominii",1
"Nitmiluk","1","T2","7","Buchnera asperata",1
"Nitmiluk","1","T2","7","Crotalaria montana",1
"Nitmiluk","1","T2","7","Eriachne obtusa",3
"Nitmiluk","1","T2","7","Heliotropium ventricosum",1
"Nitmiluk","1","T2","7","Heteropogon contortus",5
"Nitmiluk","1","T2","7","Polycarpaea corymbosa",1
"Nitmiluk","1","T2","7","Sorghum timorense",30
"Nitmiluk","1","T2","7","Themeda triandra",1
"Nitmiluk","1","T2","7","Trianthema rhynchocalyptrum",5
"Nitmiluk","1","T2","8","Heteropogon contortus",20
"Nitmiluk","1","T2","8","Ipomoea eriocarpa",1
"Nitmiluk","1","T2","8","Mnesithea formosa",1
"Nitmiluk","1","T2","8","Sorghum timorense",1
"Nitmiluk","1","T2","8","Trianthema rhynchocalyptrum",2
"Nitmiluk","1","T2","9","Crotalaria montana",1
"Nitmiluk","1","T2","9","Euphorbia armstrongiana",1
"Nitmiluk","1","T2","9","Mnesithea formosa",1
"Nitmiluk","1","T2","9","Sorghum timorense",10
"Nitmiluk","1","T2","9","Trianthema rhynchocalyptrum",1
"Nitmiluk","1","T2","10","Desmodium glareosum",1
"Nitmiluk","1","T2","10","Euphorbia armstrongiana",1
"Nitmiluk","1","T2","10","Mnesithea formosa",1
"Nitmiluk","1","T2","10","Sorghum timorense",20
"Nitmiluk","1","T2","10","Trianthema rhynchocalyptrum",10
"Nitmiluk","1","T2","11","Boerhavia dominii",5
"Nitmiluk","1","T2","11","Desmodium glareosum",3
"Nitmiluk","1","T2","11","Heteropogon contortus",3
"Nitmiluk","1","T2","11","Indigastrum parviflorum",1
"Nitmiluk","1","T2","11","Mnesithea formosa",2
"Nitmiluk","1","T2","11","Sorghum timorense",15
"Nitmiluk","1","T2","12","Boerhavia dominii",1
"Nitmiluk","1","T2","12","Fimbristylis simulans",1
"Nitmiluk","1","T2","12","Heliotropium ventricosum",1
"Nitmiluk","1","T2","12","Mnesithea formosa",5
"Nitmiluk","1","T2","12","Murdannia graminea",5
"Nitmiluk","1","T2","12","Sorghum timorense",10
"Nitmiluk","1","T2","13","Boerhavia dominii",1
"Nitmiluk","1","T2","13","Buchnera asperata",1
"Nitmiluk","1","T2","13","Desmodium glareosum",1
"Nitmiluk","1","T2","13","Galactia tenuiflora",10
"Nitmiluk","1","T2","13","Indigastrum parviflorum",3
"Nitmiluk","1","T2","13","Mnesithea formosa",10
"Nitmiluk","1","T2","13","Sorghum timorense",25
"Nitmiluk","1","T2","14","Mnesithea formosa",20
