"plot","est_date","latitude","longitude","district","group"
"KAKFIRE_117",1995-03-05,"-12.49409001",132.93491,"East Alligator","Lowland Open Forest"
"KAKFIRE_118",1995-08-01,"-12.41945897",132.96537,"East Alligator","Lowland Rainforest"
"KAKFIRE_119",1995-08-01,"-12.44594973",132.9541611,"East Alligator","Floodplain"
"KAKFIRE_120",1995-04-20,"-13.43351997",132.65348,"Mary River","Sandstone Woodland"
"KAKFIRE_121",1995-03-18,"-12.844197",132.987742,"Nourlangie","Sandstone Heath"
"KAKFIRE_122",1995-08-01,"-12.46993102",132.880449,"East Alligator","Floodplain"
"KAKFIRE_123",1995-03-17,"-12.75884097",132.946797,"Nourlangie","Sandstone Heath"
"KAKFIRE_124",1995-07-26,"-12.812085",132.54955,"Jim Jim","Floodplain"
"KAKFIRE_125",1995-04-19,"-13.44231402",132.854513,"Mary River","Sandstone Heath"
"KAKFIRE_126",1995-03-19,"-12.99768632",132.9326809,"Nourlangie","Sandstone Woodland"
"KAKFIRE_127",1995-07-26,"-12.82106998",132.54661,"Jim Jim","Lowland Rainforest"
"KAKFIRE_128",1995-04-21,"-13.63655373",132.6055542,"Mary River","Sandstone Heath"
"KAKFIRE_130",1995-09-07,"-12.33582996",132.1735399,"South Alligator","Floodplain"
"KAKFIRE_131",1995-03-16,"-12.82330535",132.8744366,"Nourlangie","Sandstone Woodland"
"KAKFIRE_132",1995-03-16,"-12.78285823",132.854767,"Nourlangie","Sandstone Heath"
"KAKFIRE_133",1995-04-21,"-13.74154201",132.6237021,"Mary River","Sandstone Heath"
"KAKFIRE_134",1995-04-20,"-13.41058399",132.487518,"Mary River","Sandstone Woodland"
"KAKFIRE_135",1995-09-08,"-12.53568697",131.985769,"South Alligator","Floodplain"
"KAKFIRE_136",1995-03-20,"-12.88670003",132.91918,"Nourlangie","Lowland Open Forest"
"KAKFIRE_137",1995-03-05,"-12.47560398",132.931074,"East Alligator","Sandstone Heath"
"KAKFIRE_138",1995-03-14,"-12.86364997",132.78982,"Nourlangie","Sandstone Heath"
"KAKFIRE_139",1995-03-15,"-12.63421725",132.9979673,"Nourlangie","Sandstone Heath"
"KAKFIRE_140",1995-03-18,"-12.861844",132.978916,"Nourlangie","Sandstone Heath"
"KAKFIRE_141",1995-08-02,"-12.401459",132.958789,"East Alligator","Lowland Rainforest"
"KAKFIRE_142",1995-03-05,"-12.48264402",132.944434,"East Alligator","Sandstone Woodland"
"KAKFIRE_143",1995-03-06,"-12.53979997",132.956485,"East Alligator","Sandstone Woodland"
"KAKFIRE_144",1995-03-15,"-12.58383941",132.9919085,"Nourlangie","Sandstone Heath"
"KAKFIRE_145",1995-07-27,"-12.90999502",132.512589,"Jim Jim","Floodplain"
"KAKFIRE_146",1995-07-27,"-12.55070357",132.3750857,"South Alligator","Lowland Woodland"
"KAKFIRE_147",1995-03-22,"-12.86551",132.79013,"Nourlangie","Sandstone Heath"
"KAKFIRE_148",1995-09-07,"-12.51832997",132.21389,"South Alligator","Floodplain"
"KAKFIRE_149",1995-03-04,"-12.31826501",132.907451,"East Alligator","Lowland Open Forest"
"KAKFIRE_150",1995-03-17,"-12.7814691",132.9435547,"Nourlangie","Sandstone Heath"
"KAKFIRE_151",1995-07-27,"-12.99575999",132.59762,"Jim Jim","Floodplain"
"KAKFIRE_152",1995-03-13,"-12.70591998",132.84333,"Nourlangie","Lowland Open Forest"
"KAKFIRE_153",1995-03-19,"-12.99471167",132.8831521,"Nourlangie","Sandstone Heath"
"KAKFIRE_154",1995-03-20,"-12.819692",132.922211,"Nourlangie","Sandstone Woodland"
"KAKFIRE_155",1995-08-02,"-12.40522399",132.954742,"East Alligator","Lowland Rainforest"
"KAKFIRE_156",1995-08-02,"-12.44049998",132.97039,"East Alligator","Floodplain"
"KAKFIRE_157",1995-03-14,"-12.82286002",132.79819,"Nourlangie","Sandstone Woodland"
"KAKFIRE_201",1996-01-16,"-12.54721996",132.92895,"East Alligator","Sandstone Woodland"
"KAKFIRE_202",1996-01-18,"-12.51441998",132.90121,"East Alligator","Sandstone Heath"
"KAKFIRE_203",1996-01-18,"-12.50286302",132.897474,"East Alligator","Sandstone Woodland"
