"This table was prepared by Dr Roel van Klink to provide a taxonomical backbone to the taxa reported in Muschet et al 2017."
"","codes","long_names","Taxon","Phylum","Class","Subclass","Order","Suborder","Family","Subfamily","Genus","Species"
"62308","EUOR","Eubranchipus ornatus","Eubranchipus_ornatus","Arthropoda","Branchiopoda","","Anostraca","","Chirocephalidae","","Eubranchipus","ornatus"
"63297","EULA","Eurycercus lamellatus","Eurycercus_lamellatus","Arthropoda","Branchiopoda","","Diplostraca","Cladocera","Eurycercidae","","Eurycercus","lamellatus"
"64286","GAMM","Gammarus lacustris","Gammarus_lacustris","Arthropoda","Malacostraca","Eumalacostraca","Amphipoda","Senticaudata","Gammaridae","","Gammarus","lacustris"
"65275","GERR","Gerris","Gerris","Arthropoda","Insecta","","Hemiptera","Heteroptera","Gerridae","Gerrinae","Gerris",""
"66264","GLOS","Glossiphonia","Glossiphonia","Annelida","Clitellata","","Hirudinida","Glossiphoniiformes","Glossiphoniidae","","Glossiphonia",""
"67253","GRAP","Graphoderus","Graphoderus","Arthropoda","Insecta","","Coleoptera","Adephaga","Carabidae","","Graphoderus",""
"68242","GRAP2","Graptocorixa","Graptocorixa","Arthropoda","Insecta","","Hemiptera","Heteroptera","Corixidae","Corixinae","Graptocorixa",""
"69231","GYCI","Gyraulus circumstriatus","Gyraulus_circumstriatus","Mollusca","Gastropoda","","","","Planorbidae","","Gyraulus","circumstriatus"
"70220","GYPA","Gyraulus parvus","Gyraulus_parvus","Mollusca","Gastropoda","","","","Planorbidae","","Gyraulus","parvus"
"71209","GYRI2","Gyrinus","Gyrinus","Arthropoda","Insecta","","Coleoptera","Adephaga","Gyrinidae","","Gyrinus",""
"72198","HALI","Haliplus","Haliplus","Arthropoda","Insecta","","Coleoptera","Adephaga","Haliplidae","","Haliplus",""
"73187","HEAN","Helisoma anceps","Helisoma_anceps","Mollusca","Gastropoda","","","","Planorbidae","","Helisoma","anceps"
"74176","HELO3","Helobdella","Helobdella","Annelida","Clitellata","","Hirudinida","Glossiphoniiformes","Glossiphoniidae","","Helobdella",""
"75165","HELO","Helophorus oblongus","Helophorus_oblongus","Arthropoda","Insecta","","Coleoptera","Polyphaga","Helophoridae","","Helophorus","oblongus"
"76154","HESP","Hesperocorixa","Hesperocorixa","Arthropoda","Insecta","","Hemiptera","Heteroptera","Corixidae","Corixinae","Hesperocorixa",""
"77143","HYAL","Hyalella azteca","Hyalella_azteca","Arthropoda","Malacostraca","","Amphipoda","Senticaudata","Hyalellidae","","Hyalella","azteca"
"78132","HYDA","Hydaticus","Hydaticus","Arthropoda","Insecta","","Coleoptera","Adephaga","Dytiscidae","Dytiscinae","Hydaticus",""
"79121","HYDR1","Hydrachnidae","Hydrachnidae","Arthropoda","Arachnida","Acari","Trombidiformes","Prostigmata","Hydrachnidae","","",""
"80110","HYDR6","Hydrobius","Hydrobius","Arthropoda","Insecta","","Coleoptera","Polyphaga","Hydrophilidae","Hydrophilinae","Hydrobius",""
"81099","HYFU","Hydrobius fuscipes","Hydrobius_fuscipes","Arthropoda","Insecta","","Coleoptera","Polyphaga","Hydrophilidae","Hydrophilinae","Hydrobius","fuscipes"
"82088","HYDR3","Hydrochara","Hydrochara","Arthropoda","Insecta","","Coleoptera","Polyphaga","Hydrophilidae","Hydrophilinae","Hydrochara",""
"83077","HYOB","Hydrochara obtusata","Hydrochara_obtusata","Arthropoda","Insecta","","Coleoptera","Polyphaga","Hydrophilidae","Hydrophilinae","Hydrochara","obtusata"
"84066","HYDR7","Hydrochus ","Hydrochus_","Arthropoda","Insecta","","Coleoptera","Polyphaga","Hydrochidae","","Hydrochus",""
"85055","HYDR5","Hydroporus","Hydroporus","Arthropoda","Insecta","","Coleoptera","Adephaga","Dytiscidae","Hydroporinae","Hydroporus",""
"86044","HYGR","Hygrotus","Hygrotus","Arthropoda","Insecta","","Coleoptera","Adephaga","Dytiscidae","Hydroporinae","Hygrotus",""
"87033","ILYB","Ilybius fraterculus","Ilybius_fraterculus","Arthropoda","Insecta","","Coleoptera","Adephaga","Dytiscidae","Agabinae","Ilybius","fraterculus"
"88022","SALD","immature Saldidae","immature_Saldidae","Arthropoda","Insecta","","Hemiptera","Heteroptera","Saldidae","","",""
"89011","ISCH","Ischnura","Ischnura","Arthropoda","Insecta","","Odonata","Zygoptera","Coenagrionidae","","Ischnura",""
"90000","ISOT","Isotomidae","Isotomidae","Arthropoda","Entognatha","Collembola","Entomobryomorpha","","Isotomidae","","",""
"90989","LACC","Laccophilus","Laccophilus","Arthropoda","Insecta","","Coleoptera","Adephaga","Dytiscidae","Laccophilinae","Laccophilus",""
"91978","LAMA","Laccophilus maculosus","Laccophilus_maculosus","Arthropoda","Insecta","","Coleoptera","Adephaga","Dytiscidae","Laccophilinae","Laccophilus","maculosus"
"92967","LACC2","Laccornis","Laccornis","Arthropoda","Insecta","","Coleoptera","Adephaga","Carabidae","","Laccornis",""
"93956","CONC","Laevicaudata","Laevicaudata","Arthropoda","Branchiopoda","","Laevicaudata","","","","",""
"94945","LEPI","Lepidoptera","Lepidoptera","Arthropoda","Insecta","","Lepidoptera","","","","",""
"95934","LEPT","Leptoceridae","Leptoceridae","Arthropoda","Insecta","","Trichoptera","Integripalpia","Leptoceridae","","",""
"96923","LEST2","Lestes","Lestes","Arthropoda","Insecta","","Odonata","Zygoptera","Lestidae","","Lestes",""
"97912","LEAM","Lethocerus americanus","Lethocerus_americanus","Arthropoda","Insecta","","Hemiptera","Heteroptera","Belostomatidae","Lethocerinae","Lethocerus","americanus"
"98901","LEUC","Leucorrhinia","Leucorrhinia","Arthropoda","Insecta","","Odonata","Epiprocta","Libellulidae","","Leucorrhinia",""
"99890","LIBE","Libellulidae","Libellulidae","Arthropoda","Insecta","","Odonata","Epiprocta","Libellulidae","","",""
"100879","LIMN1","Limnephilidae","Limnephilidae","Arthropoda","Insecta","","Trichoptera","Integripalpia","Limnephilidae","","",""
"101868","LIOD","Liodessus affinis","Liodessus_affinis","Arthropoda","Insecta","","Coleoptera","Adephaga","Dytiscidae","Hydroporinae","Liodessus","affinis"
"102857","LYPA","Lymnaea palustris","Lymnaea_palustris","Mollusca","Gastropoda","","","","Lymnaeidae","","Lymnaea","palustris"
"103846","LYST","Lymnaea stagnalis","Lymnaea_stagnalis","Mollusca","Gastropoda","","","","Lymnaeidae","","Lymnaea","stagnalis"
"104835","MAPE","Mansonia perturbans","Mansonia_perturbans","Mansonia","","","","","","","Mansonia","perturbans"
"105824","MESO","Mesoveliidae","Mesoveliidae","Arthropoda","Insecta","","Hemiptera","Heteroptera","Mesoveliidae","","",""
"106813","MOIN","Moina macrocopa","Moina_macrocopa","Arthropoda","Branchiopoda","","Diplostraca","Cladocera","Moinidae","","Moina","macrocopa"
"107802","MOLA","Molannidae","Molannidae","Arthropoda","Insecta","","Trichoptera","Integripalpia","Molannidae","","",""
"108791","NECT","Nectopsyche","Nectopsyche","Arthropoda","Insecta","","Trichoptera","Integripalpia","Leptoceridae","Leptocerinae","Nectopsyche",""
"109780","NEHA","Nehalennia","Nehalennia","Arthropoda","Insecta","","Odonata","Zygoptera","Coenagrionidae","","Nehalennia",""
"110769","NEOP","Neoplea","Neoplea","Arthropoda","Insecta","","Hemiptera","Heteroptera","Pleidae","","Neoplea",""
"111758","NEPI","Nepidae","Nepidae","Arthropoda","Insecta","","Hemiptera","Heteroptera","Nepidae","","",""
"112747","NOTO2","Notonecta","Notonecta","Arthropoda","Insecta","","Hemiptera","Heteroptera","Notonectidae","Notonectinae","Notonecta",""
"113736","ORTH2","Orthocladiinae","Orthocladiinae","Arthropoda","Insecta","","Diptera","Nematocera","Chironomidae","Orthocladiinae","Orthocladiinae",""
