"park","plot","visit","date","comments"
"Kakadu","100","T1",1995-04-01,""
"Kakadu","100","T2",2000-03-02,""
"Kakadu","100","T3",2005-04-01,""
"Kakadu","100","T5",2013-04-22,""
"Kakadu","110","T1",1995-03-21,""
"Kakadu","110","T2",2000-02-07,""
"Kakadu","110","T3",2005-03-22,""
"Kakadu","110","T5",2013-04-16,""
"Kakadu","111","T1",1995-03-07,""
"Kakadu","111","T2",2000-02-18,""
"Kakadu","111","T3",2005-04-01,""
"Kakadu","111","T5",2013-04-22,""
"Kakadu","112","T1",1995-03-06,""
"Kakadu","112","T2",2000-02-19,""
"Kakadu","112","T3",2005-04-01,""
"Kakadu","112","T4",2009-03-21,""
"Kakadu","112","T5",2014-03-03,""
"Kakadu","113","T1",1995-09-07,""
"Kakadu","113","T2",2001-10-15,""
"Kakadu","113","T5",2013-10-10,""
"Kakadu","113","T3",2005-11-07,""
"Kakadu","114","T1",1995-09-06,""
"Kakadu","114","T2",2001-10-01,""
"Kakadu","114","T5",2013-10-10,"plot still wet.  Unburnt"
"Kakadu","115","T1",1995-03-03,""
"Kakadu","115","T2",2000-02-17,""
"Kakadu","115","T3",2005-02-15,""
"Kakadu","115","T5",2014-03-06,"non-ongoing, photo picket lost.  No assesment"
"Kakadu","116","T1",1995-03-13,""
"Kakadu","116","T2",2001-10-18,"too wet in 2000"
"Kakadu","116","T5",2013-04-25,""
"Kakadu","116","T3",2006-05-18,""
"Kakadu","117","T1",1995-03-05,""
"Kakadu","117","T2",2000-02-18,""
"Kakadu","117","T3",2005-04-01,""
"Kakadu","117","T5",2014-03-04,""
"Kakadu","118","T1",1995-08-01,""
"Kakadu","118","T2",2001-10-16,""
"Kakadu","118","T5",2014-03-05,""
"Kakadu","118","T3",2005-11-07,""
"Kakadu","119","T1",1995-08-01,""
"Kakadu","119","T2",2001-10-16,""
"Kakadu","119","T5",2013-10-07,"many downed stems, prob. Long unburnt, close to SS woodland."
"Kakadu","119","T3",2005-11-18,""
"Kakadu","120","T1",1995-04-20,""
"Kakadu","120","T2",1999-04-13,""
"Kakadu","120","T3",2004-02-18,""
"Kakadu","120","T4",2009-03-12,""
"Kakadu","120","T5",2014-02-26,""
"Kakadu","121","T1",1995-03-18,""
"Kakadu","121","T2",2000-03-01,""
"Kakadu","121","T3",2004-03-04,""
"Kakadu","121","T4",2009-03-17,""
"Kakadu","121","T5",2014-02-28,"canopy covers mostly not '2' and few '1'.  Previous must refer to shrub cover"
"Kakadu","122","T1",1995-08-01,""
"Kakadu","122","T2",2001-10-16,""
"Kakadu","122","T5",2013-10-06,"long unburnt, fallen Melaleuca due to wind.   Pickets need replacing"
"Kakadu","122","T3",2005-11-08,""
"Kakadu","123","T1",1995-03-17,""
"Kakadu","123","T2",1999-03-23,""
"Kakadu","123","T3",2004-03-03,""
"Kakadu","123","T4",2009-03-19,""
"Kakadu","123","T5",2013-04-24,""
"Kakadu","124","T1",1995-07-26,""
"Kakadu","124","T2",2001-10-17,""
"Kakadu","124","T5",2013-10-09,"non-ongoing. Long unburnt. Feral animals-pig rooting & buffalo wallows near plot"
"Kakadu","124","T3",2005-11-09,""
"Kakadu","125","T1",1995-04-19,""
"Kakadu","125","T2",2000-03-01,""
"Kakadu","125","T3",2004-03-01,""
"Kakadu","125","T4",2009-03-12,""
"Kakadu","125","T5",2014-02-25,"Green caterpillar 7cm with black spots eating Carallia"
"Kakadu","126","T1",1995-03-19,""
"Kakadu","126","T2",1999-03-21,""
"Kakadu","126","T3",2004-02-18,""
"Kakadu","126","T4",2009-03-16,""
"Kakadu","126","T5",2014-02-28,""
"Kakadu","127","T1",1995-07-26,""
"Kakadu","127","T2",2001-10-17,""
"Kakadu","127","T5",2013-10-09,"previous photos in wrong direction to tagged trees. Photo point changed"
"Kakadu","128","T1",1995-04-21,""
"Kakadu","128","T2",2000-03-01,""
"Kakadu","128","T3",2004-03-01,""
"Kakadu","128","T4",2009-03-11,""
"Kakadu","128","T5",2014-02-24,""
"Kakadu","130","T1",1995-09-07,""
"Kakadu","130","T2",2001-10-09,""
"Kakadu","130","T5",2013-10-10,"plot still wet. No trees. Unburnt"
"Kakadu","130","T3",2005-11-07,""
"Kakadu","131","T1",1995-03-16,""
"Kakadu","131","T2",1999-03-23,""
"Kakadu","131","T3",2004-03-01,""
"Kakadu","131","T4",2009-03-18,""
"Kakadu","131","T5",2014-03-02,"chk photos"
"Kakadu","132","T1",1995-03-16,""
"Kakadu","132","T2",1999-03-23,""
"Kakadu","132","T3",2004-03-01,""
"Kakadu","132","T4",2009-03-21,""
"Kakadu","132","T5",2014-03-02,""
"Kakadu","133","T1",1995-04-21,""
"Kakadu","133","T2",1999-04-21,""
"Kakadu","133","T3",2004-03-01,""
"Kakadu","133","T4",2009-03-12,""
"Kakadu","133","T5",2014-02-24,""
"Kakadu","134","T1",1995-04-20,""
"Kakadu","134","T2",1999-04-12,""
"Kakadu","134","T3",2004-03-01,""
"Kakadu","134","T4",2009-03-11,""
"Kakadu","134","T5",2013-04-16,""
"Kakadu","135","T1",1995-09-08,""
"Kakadu","135","T2",2001-10-09,""
"Kakadu","135","T3",2005-11-07,""
"Kakadu","136","T1",1995-03-20,""
"Kakadu","136","T2",1999-03-23,""
"Kakadu","136","T5",2014-02-28,""
"Kakadu","136","T3",2006-05-18,""
"Kakadu","137","T1",1995-03-05,""
"Kakadu","137","T2",1999-03-12,""
"Kakadu","137","T3",2004-03-01,""
"Kakadu","137","T4",2009-03-23,""
"Kakadu","137","T5",2014-03-04,"No trees to record"
"Kakadu","138","T1",1995-03-14,""
"Kakadu","138","T2",1999-03-01,""
"Kakadu","138","T3",2004-03-01,""
"Kakadu","138","T4",2009-03-22,""
"Kakadu","138","T5",2014-03-03,""
"Kakadu","139","T1",1995-03-15,""
"Kakadu","139","T2",1999-03-22,""
"Kakadu","139","T3",2004-03-02,""
"Kakadu","139","T4",2009-03-20,""
"Kakadu","139","T5",2014-03-02,""
"Kakadu","140","T1",1995-03-18,""
"Kakadu","140","T2",1999-03-21,""
"Kakadu","140","T3",2004-03-04,""
"Kakadu","140","T4",2009-03-17,""
"Kakadu","140","T5",2014-02-28,""
"Kakadu","141","T1",1995-08-02,""
