"park","plot","visit","genus_species","tag_no","height_m","fire_scar","dbh1","dbh2","dbh3","dbh4","dbh5","dbh6","dbh7","dbh8","dbh9","is_the_tree_dead"
"Kakadu","1","T2","Glochidion sumatranum","79",10,NA,12.6,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T2","Timonius timon","80",11,NA,21.3,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T2","Timonius timon","81",12,NA,25.7,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T2","Sesbania formosa","82",14,"1",27,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T2","Livistona mariae subsp. mariae","83",14,"1",33,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T2","Livistona mariae subsp. mariae","84",16,"1",35.5,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T2","Livistona mariae subsp. mariae","85",32,"1",34.5,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T2","Livistona mariae subsp. mariae","86",27,"1",28.5,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T2","Livistona mariae subsp. mariae","87",26,"1",29.3,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T2","Terminalia platyptera","88",7,NA,6.2,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T2","Timonius timon","89",6,"1",5.2,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T3","Sesbania formosa","30",13,"1",15.1,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"Kakadu","1","T3","Sesbania formosa","31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"Kakadu","1","T3","Sesbania formosa","32",15,"1",23.3,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T3","Sesbania formosa","33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"Kakadu","1","T3","Pandanus spiralis","34",1,NA,12.2,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T3","Glochidion sumatranum","35",14,"1",20.9,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T3","Sesbania formosa","36",NA,NA,15.2,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T3","Timonius timon","37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"Kakadu","1","T3","Pandanus spiralis","38",4,NA,12.4,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T3","Pandanus spiralis","39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"Kakadu","1","T3","Pandanus spiralis","40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"Kakadu","1","T3","Glochidion sumatranum","41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"Kakadu","1","T3","Glochidion sumatranum","42",14,"1",27.3,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
