"park","plot","visit","date","comments"
"Nitmiluk","39","T1",1996-03-08,""
"Nitmiluk","39","T2",2000-03-22,""
"Nitmiluk","39","T3",2005-04-04,""
"Nitmiluk","39","T4",2010-03-22,""
"Nitmiluk","39","T5",2015-03-23,""
"Nitmiluk","40","T1",1996-06-08,""
"Nitmiluk","40","T2",2000-03-22,""
"Nitmiluk","40","T3",2005-04-04,""
"Nitmiluk","40","T4",NA,"no visit"
"Nitmiluk","40","T5",NA,"no visit"
"Nitmiluk","41","T1",1995-02-03,""
"Nitmiluk","41","T2",2000-03-23,""
"Nitmiluk","41","T3",2005-04-04,""
"Nitmiluk","41","T4",2010-03-21,""
"Nitmiluk","41","T5",2015-03-23,""
"Nitmiluk","42","T1",1995-04-20,""
"Nitmiluk","42","T2",2000-03-24,""
"Nitmiluk","42","T3",2005-04-09,""
"Nitmiluk","42","T4",2010-03-22,""
"Nitmiluk","42","T5",2015-03-27,""
"Nitmiluk","43","T1",1996-08-06,""
"Nitmiluk","43","T2",2000-03-21,""
"Nitmiluk","43","T3",2005-04-06,""
"Nitmiluk","43","T4",2010-03-24,""
"Nitmiluk","43","T5",2015-03-23,""
"Nitmiluk","44","T1",1996-07-06,""
"Nitmiluk","44","T2",2000-03-21,""
"Nitmiluk","44","T3",2005-04-06,""
"Nitmiluk","44","T4",2010-03-24,""
"Nitmiluk","44","T5",2015-03-27,""
"Nitmiluk","45","T1",1995-02-10,""
"Nitmiluk","45","T2",2000-03-25,""
"Nitmiluk","45","T3",2005-04-09,""
"Nitmiluk","45","T4",2010-03-26,""
"Nitmiluk","45","T5",2015-03-24,""
"Nitmiluk","46","T1",1997-01-31,""
"Nitmiluk","46","T2",2000-03-20,""
"Nitmiluk","46","T3",2005-04-09,""
"Nitmiluk","46","T4",2010-03-22,""
"Nitmiluk","46","T5",2015-03-23,""
"Nitmiluk","47","T1",1997-01-02,""
"Nitmiluk","47","T2",2000-03-20,""
"Nitmiluk","47","T3",2005-04-04,""
"Nitmiluk","47","T4",2010-03-21,""
"Nitmiluk","47","T5",2015-03-23,""
