extracted from matthews_2016 DataS1 excel table. Piney Ck 12-site data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Season,Year,Station,Ichthyomyzon gagei,Lampetra aepyptera,Lethenteron appendix,Campostoma spp.,Chrosomus erythrogaster,Cyprinella galactura,Erimystax dissimilis,Hybopsis amblops,Luxilus chrysocephalus,Luxilus pilsbryi,Nocomis c.f. biguttatus,Notemigonus crysoleucas,Notropis boops,Notropis greenei,Notropis nubilus,Notropis ozarcanus,Notropis percobromus,Notropis sabinae,Notropis telescopus,Pimephales notatus,Pimeplales promelas,Semotilus atromaculatus,Carpiodes carpio,Erimyon oblongus,Hypentelium nigricans,Moxostoma duquesnei,Moxostoma erythrurum,Ameiurus natalis,Noturus albater,Noturus exilis,Fundulus catenatus,Fundulus olivaceus,Gambusia affinis,Labidesthes sicculus,Ambloplites constellatus,Lepomis cyanellus,Lepomis macrochirus,Lepomis megalotis,Lepomis microlophus,Micropterus dolomieu,Microperus punctulatus,Microperus salmoides,Etheostoma blennioides,Etheostoma caeruleum,Etheostoma spectabile,Etheostoma zonale,Cottus carolinae,Cottus immaculatus
win,1983,p1,0,0,0,4,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0,0,4
win,1983,p2,0,0,0,13,0,31,0,16,0,135,5,0,1,0,40,0,11,0,56,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,35,5,2,0,7
win,1983,p4,0,2,1,17,0,63,0,1,3,90,0,0,4,0,40,0,7,0,58,0,1,0,0,0,3,0,0,0,1,0,11,0,0,0,0,0,0,1,0,0,0,0,3,33,3,5,1,2
win,1983,p5,0,1,0,6,0,26,0,3,2,26,0,0,4,0,9,0,4,0,79,56,4,0,0,0,2,0,0,0,1,0,49,0,0,0,0,0,0,0,0,0,0,0,1,51,43,3,2,5
win,1983,p6,0,0,0,73,0,24,0,0,1,0,0,0,39,0,6,0,0,1,96,14,0,0,0,0,2,0,0,0,0,1,52,0,0,0,0,0,0,0,0,0,0,0,0,60,43,2,1,0
win,1983,p7,0,0,0,27,0,27,0,0,0,0,0,9,203,0,0,0,0,0,16,618,1,0,0,1,1,0,0,0,0,4,3,11,0,0,0,53,12,52,14,0,0,1,0,22,97,0,0,0
win,1983,p8,0,0,0,90,0,25,0,31,0,13,0,0,53,0,56,0,0,0,77,50,0,0,0,0,1,1,0,0,0,7,20,0,0,0,0,1,0,0,0,0,0,0,0,25,60,0,0,0
win,1983,p9,0,0,0,781,4,0,0,0,0,24,36,0,0,0,33,0,0,0,1,16,5,11,0,0,3,2,0,0,0,6,3,0,0,0,0,0,0,8,4,0,0,0,0,30,92,0,3,0
win,1983,p10,0,1,0,44,16,0,0,0,0,63,5,0,0,0,4,0,0,0,7,6,1,27,0,2,0,0,0,0,0,4,20,0,0,0,0,0,0,0,3,0,0,0,0,22,142,0,11,0
win,1983,m1,0,0,0,73,0,16,0,0,1,182,4,0,1,0,23,0,6,0,19,10,2,0,0,0,2,0,0,0,0,0,25,2,0,0,0,0,0,0,0,0,0,0,0,16,9,0,2,7
