species,1A,1B,1C,2A,2B,2C,3A,3B,3C,4A,4B,4C,5A,5B,5C,6A,6B,6C,7A,7B,7C,8A,8B,8C,9A,9B,9C,10A,10B,10C,11A,11B,11C,12A,12B,12C,13A,13B,13C,14A,14B,14C,15A,15B,15C,16A,16B,16C,17A,17B,17C,18A,18B,18C,19A,19B,19C,20A,20B,20C,22A,22B,22C,23A,23B,23C
Cyclamen hederifolium s.l.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",+,1,"","","","","","","","","","","","","","","","","","","","","",""
Cystopteris fragilis,"","","","",r,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,"","","",2,"","","","","","","",""
Cytisophyllum sessilifolium,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Cytisus scoparius,"","","","","","","","","","","","","","","","","","","","","","","","","",+,"","","","","","","","","","","","",2,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
Dactylis glomerata s.l.,"","","",+,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Dactylorhiza maculata subsp. fuchsii,"","","","","",r,"","","","","","","","","","","","","","","",r,r,"","","","","","","","","","","","","","","","","","","","",1,"",+,+,"","","","","","","","","","","","","","","","","","",2
Daphne mezereum,"","","","","",+,"","","","","","","","","","","","","","","",+,"","","","","","","","","","","","","","","","",+,"","","",1,1,1,"","","","","","",1,+,"","","","","","","","","","","",r,+
Daucus carota subsp. carota,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Digitalis lutea,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"",+,"","","","","","","","","","","","","","","","","","","","","","","","",""
Dioscorea communis,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",+,+,+,+,+,+,+,+,+,1,+,"","","","","","","","","","","",+
Drymochloa sylvatica,"","","",1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,+,1,"","","","","","",+,+,1,"","","",+,+,+,"","","","","",""
Dryopteris filix- mas,"","","","",+,"","","","","","","",+,"","",+,"",1,"","","",+,"",+,"","","","","","",+,1,"","","",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Emerus major subsp. major,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Epilobium montanum,"","","","",+,"","","","","","","",+,"",1,"","",1,"","","","",r,"","","","","","","","",1,"","","","","","","","","","","","","","","","","","",+,3,"","","","","",2,"",2,"","","",2,"",2
Epipactis helleborine,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Erythronium dens- canis,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",+,"",r,"","",""
Euonymus latifolius,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",+,r,"","","","","","","","","","","",""
Eupatorium cannabinum subsp. cannabinum,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"",+,"","","","","","","","","","","","","","","","","","","","",""
Euphorbia amygdaloides,"","",+,"","","","","","","","",+,"","","","","","","","","","","","","","","","","","","","","",1,"","","","","","","","","","","","","","","","","","",+,"","","","","","","","","","","","",""
Euphorbia cyparrissias,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",+,r,+,+,"",r,"","","","","","","","","","","",+,"","","",""
Euphorbia dulcis,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",+
Fagus sylvatica subsp. sylvatica,"","","",+,r,"","","","","","","",r,"","","","","","","","","","","","","","",2,"",+,"","","","","","","","","","",+,"","",1,"","","","","","","",+,1,"","","","","",+,"","","","","","",+
Festuca heterophylla,"","","",+,"",1,"","","","","","","",+,"","","","","","","","","","",1,+,1,"","","","","",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Ficaria verna s.l.,"","","","","","","","","","","","","","","","","","","","","","","","","","","",+,"","","","","","","","","","","",+,1,"",2,2,1,1,2,2,+,+,+,1,1,2,+,1,2,"","",1,"","","","",+,2
Fragaria vesca subsp. vesca,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Fraxinus excelsior subsp. excelsior,"","","","",r,r,"","","","","","","","","","","","","","","","","","","",+,"","","","","","","",r,+,"","",+,"","",+,"",1,1,+,+,+,1,"",+,1,+,+,"","","","",+,"",+,"","","","",+,+
Fraxinus ornus,"","","","","","","","","","","","","","","","","","","","","","","","",1,"",+,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Galega officinalis,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",+,"","","",+,2,+,"","","","",1,+,"",1,1,1,3,2,""
Galeopsis speciosa,"","","","","","","","","","","","","",r,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",+,"","","","","","","","",""
Galeopsis tetrahit,+,r,+,"","","","",r,+,1,2,"","","","","","","","","","","","","","","","","","","","",1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Galium aparine,"","","","","","","","","","","","","","","","","","","","","","","","","","","",+,"",r,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Galium aristatum,"","","",1,"",1,"","","","","","","","","","","",1,"","","","","","","","","","","","","","","","","","","","","","",1,"","","",1,"","","","","","","","","","","","","","","","","","","","",""
Galium mollugo,"","","","","","",3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Galium odoratum,"","",2,"",2,"","","","","","",+,+,1,+,"","","","","","","","","","","",+,"","","",2,3,1,"","",r,"","","","","",+,+,1,1,"","",r,"","","","","","","","","","","","","","","","","",""
Galium rotundifolium subsp. rotundifolium,1,"","","","","","","","","",1,2,"","","","",+,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Genista tinctoria,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Geranium dissectum,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",+,"",1,"","","","","","","","","","","","","","","","","",+
Geranium molle,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",+,"","","","","","","","","","","","","","","","","","","","",""
Geranium nodosum,"","",+,"",2,+,"","","","","","","",+,+,"","",1,r,"","","","","",1,"",1,"","","","","","",2,+,1,"","","","","","","","",+,"","","","","","","","","","","","","","","","","","","","",""
Geranium robertianum,1,1,"","",2,"","","","","","","",1,+,1,"","","","","","",+,"","","","","",1,1,1,1,2,+,2,+,1,"","","",1,1,+,1,1,1,"",+,2,+,+,1,+,"",1,"","","","",+,"","","","","",+,""
Globularia bisnagarica,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Gymnadenia sp.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Helianthemum nummularium s.l.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",+,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
Helleborus viridis,"","","","","","","","","","","","",+,r,"","","","","","","","","","","","","","","","","","","","",+,"","","","","","","","","","",1,"",1,"","","","","","","","","","","","","","","","","",""
Hepatica nobilis,"","","","","",+,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,"","","","","","","","","","","","","","","","","","","","","",""
Hesperis matronalis subsp. matronalis,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"",r,"","","","","",+,1,2,1,+,1,"",1,1,+,"","","","","","","",+,+,"","","","","",""
Hieracium murorum,"","","","","",2,"","","",1,1,"","",+,"","",+,"","","","","",1,1,"",+,"","","","","","","","","","",+,"","","","",1,+,"","",+,"",+,"",+,+,+,"","","","","",+,"","",1,+,1,1,1,+
Hieracium racemosum,"","","",+,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Holcus lanatus subsp. lanatus,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"",2,2,+,"",+,"","",+,1,+,2,2,+,1,+,"","",1,"","",1
Hypericum androsaemum,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",+,"","","","","","",+,"","","","","","","","",1,"","","","","","","","","","","","","",+
Hypericum hirsutum,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",r,"","","","","","",1,"",1,"","","","","","","","","","","","","","","","","","","","",""
Hypericum montanum,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Hypericum perforatum s.l.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Hypochaeris radicata,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",+,+,"",r,"","","","","","",r,"","","","","","","","","","","","",""
Impatiens noli- tangere,"","","","","","","","","","","","","","",r,"","","","","","","","","","","","","","","","","","","",1,"","","","","","","","","",1,"","","","","","","","","","","","","","","","","","","","",""
Inula conyzae,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",+,"","","","","","","","","","","","","","","","","","","","","",""
Inula salicina,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Laburnum alpinum,"","","",1,+,r,"","","","","","",r,"","","","","","","","",+,r,"","",+,+,"","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","","","","","","","","","","",""
Laburnum anagyroides subsp. anagyroides,"","","","","","","","","","","","","","","","",r,"","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","","","","","","","","","","","","","","","","","","","","",""
Lamium purpureum,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Lapsana communis subsp. communis,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",+,+,+,"","","","",+,+,"","","","","","",1,"","","","",""
Lathyrus niger,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","","","","","","","","","","","","","","","","","","",""
Lathyrus venetus,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","","","","","","","","","","","","","","","","","","",""
Leucanthemum vulgare subsp. vulgare,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",+,"","","","","","","","","","","","","","","","","","","","","","","",1
Ligustrum vulgare,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",+,"","",3,"",2,+,1,1,2,"","","","","","",1,"","","","","",+,+
Lilium bulbiferum subsp. croceum,"","",r,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",+,1,"","","","","","","","","","","","","","","","","","","","","",""
Lilium martagon,"","","","","","","","","","","","","","","","","","","","","","","","","","","",+,"",1,"","","","","","",+,"",1,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
Lonicera xylosteum,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Lotus corniculatus s.l.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Lotus hirsutus,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","","","","","","","","","","","","",1,"","","",+,+,"","",""
Luzula campestris,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",+,"","","","","","","","","","","","","","","","","","","","","","",""
Luzula forsteri,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",+
Luzula nivea,+,"","",1,1,2,"","",+,3,2,"",1,"","",r,+,"","","","",1,1,1,1,1,+,"","","",1,"",1,"","","","","","",1,"",+,"","","","","","","","","","","","",1,2,2,"","","","","","","","",""
Luzula sylvatica,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,"",+,"","","","","","","",+,"","","",+,"",+,"","","","","",2
Lychnis flos-cuculi subsp. flos-cuculi,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","","","","","","","","","","","","","","","","",""
Lysimachia punctata,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","","","","","","","","","","","","","","","","","",""
Malva moschata,"","","","","","","","","","","","","","","","","","","","","","","","","","",r,"","","","","","","","","","",+,"","","","",1,+,"","","","","","","","","","","","","","","","","","","","","",""
Melica uniflora,1,"",+,"","",1,+,+,"","","","","","","","","","",+,"","","","","",1,"",1,+,"","","","","",3,1,"","","","","","","",2,1,3,"","","","","","","","","","","","","","","","","","","","",""
Melittis melissophyllum subsp. melissophyllum,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Mercurialis perennis,"","","","","","","","","","","","",r,"","","","","","","","","","","","","","","",1,1,"","","","","","","","","",1,"",3,1,1,"","",1,"",+,1,2,1,2,3,"","","","","","","","","","",2,""
Milium effusum subsp. effusum,2,+,+,"","","",+,"",+,1,+,+,+,+,"","",r,1,+,"","","","","",1,"","","","","",1,"","","","","","","","","","","","","","","","","","",1,"","","","","","","","",3,"","","","",+,+,""
Moheringia trinervia,1,+,"","","","","","","",1,"","","","","","","","","","","","","","","","","",1,"","","","","","","",+,"","","","",2,"","","","","","","","","","","","","","","","","","","","","","","","",""
Muscari comosum,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",+,"","","","","","","","",""
Mycelis muralis subsp. muralis,+,"","",+,"","","","","","","","",r,+,+,"","","","","","","","",+,"","","","","","","","",1,1,1,"","","","","","","",+,"","","","","","","","","","","","","","","","","","","","","","",""
Myosotis scorpioides sub.scorpioides,r,"",+,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",+,1,"","","","","","","","","","","","","","","","","","","","","",""
