species,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22,23
Scilla bifolia,"","","","","","","","","","","","","",+,"","","","","","","",""
Scrophularia nodosa,"","","","",+,"","","","","",+,"","","","","","","","","","",""
Scrophularia scopolii,"","","","","",+,+,+,"","","","","","","","","","",+,"","",""
Securigera varia,"","","","","","","","","","","","","","","","",+,"","","","",""
Sedum cepaea,"","","","","","","","","","","","","","","","","","",+,"","",""
Sedum sexangulare,"","","","","","","","","","","","","","","","",+,"","","","",""
Senecio ovatus s.l.,+,+,2,+,1,+,2,+,3,"","","","","","","","","",+,"","",""
Senecio squalidus subsp. rupestris,"",+,"","",+,1,+,"",+,"",+,"","","","","","","","","","",""
Sesleria italica,"","","","","","","","","","","","","","","","","","","",+,"",""
Silene dioica,1,+,"",+,1,1,"","","","","",+,"","","","","","","","","",""
Solidago virgaurea s.l.,+,"","",+,"","","",1,"","","","","","","","","","","","","",""
Stachys sylvatica,"","","","","","","","","","","","","","","","","","",+,"","",""
Stellaria graminea,"","","","","",1,"","","","","","","","","","","","","","","",""
Stellaria nemorum s.l.,"","","","","",+,+,"","","",+,+,"","","","","","","","","",""
Symphytum tuberosum,"","","","","","","","","","","","","","","","",+,"","","","",""
Tanacetum corymbosum subsp. achilleae,"","","","","","","","","","","","","","",+,"","","","","","",""
Tephroseris italica,"","","","",+,"","","","",+,"","",+,"","","","","","","","",""
Teucrium chamaedrys subsp. chamaedrys,"","","","","","","","","","","","","","","","",+,"","","",+,""
Thalictrum aquilegiifolium subsp. aquilegiifolium,"","","","","","","",1,"","",+,"","","","","","","","","","",""
Thymus longicaulis subsp. longicaulis,"","","","","","","","","",1,"","","","",+,1,1,"","","",+,+
Tommasinia altissima,"","","","","","","","","","","","","","","","",+,"","","","",""
Trifolium campestre,"","","","","","","","","",+,"","","","","","",+,"","","",+,""
Trifolium hybridum subsp. elegans,"","","","","","","","","","","","","","","","",+,"","","","",""
Trifolium medium subsp. medium,"","","","","","","","","","","","","","",+,"","","",1,"","",""
Trifolium ochroleucon,"","","","","","","","","","","","","","","","",+,"","","","",""
Trifolium pratense s.l.,"","","","","","","","","","","","","","","",+,"","","","",+,""
Trifolium repens,"","","",+,"",1,"","","","","","","","","","",+,"","","","",""
Tussilago farfara,"","","","","","","","","","","","","","",+,"","","","","","",""
Urtica dioica s.l.,1,"","","",1,"","","",1,"",+,+,"","","","","","",+,"","",""
Valeriana officinalis subsp. officinalis,"","","","","","","","","","","","","","","","","","",+,"","",""
Valeriana tripteris s.l.,"","","","","","","","",1,"",1,"","","","","","","","","","",""
Veronica chamaedrys subsp. chamaedrys,+,"",+,+,"",+,+,1,+,"","","","","",+,"","","","","",+,""
Veronica officinalis,"","","","","","","","","",1,"","","","","","",+,"","","","",""
Vicia bithynica,"","","","","","","","","","","","","","",+,"","","","","","",""
Vicia sativa,"","","","","","","","","","","","","","","","","","","","",+,""
Vicia sepium,"","","","","","","","","",+,"","",+,"","","","",+,"","","",""
Vinca minor,"","","","","","","","","",3,"","","","","","","","","","","",""
Vincetoxicum hirundinaria subsp. hirundinaria,"","","","","","","","","","","","","","","",+,"","","","",+,""
Viola hirta,"","","","","","","","","","","","","","","","",1,"","","","",""
Viola reichenbachiana,+,+,+,"","","",+,+,"","","",+,"",+,"","","","",+,+,"",""
