YEAR,SQUARE,SITE_ID,SAMPLE_DATE,WATER_WIDTH,DEPTH1,DEPTH2,DEPTH3,SURF_VEL_CAT,CLARITY,SAMPLING_TIME,METHOD,ROCK_PAVEMT,BOULDER_COBBLE,PEBBLE_GRAVEL,SAND,SILT_CLAY,DOM_PART_SIZE,MACROPHYTE_COVER,LC07,LC07_NUM,EZ_DESC_07,COUNTRY,COUNTY07
1990,DUYIHQ,1,20-Jul-90,1.4,15,20,10,2,1,3,1,0,5,30,0,65,6.5,0,19e,21,Uplands (England),ENG,Cumbria
1990,DZIAED,1,05-Jul-90,5,5,10,20,2,1,3,1,15,70,20,0,10,-6.5,0,13e,13,Westerly lowlands (England),ENG,North Yorkshire
1990,UEZICR,1,16-Aug-90,1,3,5,2,1,1,3,1,0,5,15,20,60,6.5,70,7s,25,Lowlands (Scotland),SCO,Dumfries & Galloway
1990,IPLMTS,1,02-Aug-90,0.3,5,6,2,2,1,3,1,0,75,20,0,5,-7.75,0,16e,15,Westerly lowlands (England),ENG,Cumbria
1990,FOXRQT,1,11-Sep-90,1.5,25,75,10,2,1,3,1,0,80,20,0,0,-7.75,0,22e,22,Uplands (England),ENG,Cumbria
1990,JGYXEU,1,28-Sep-90,0.8,10,10,5,2,1,3,1,0,60,35,3,2,-7.75,15,23e,23,Uplands (England),ENG,Cumbria
1990,VOQWLO,1,17-Aug-90,2,10,15,5,1,1,3,1,10,60,2,0,38,-9,0,13s,26,Lowlands (Scotland),SCO,Dumfries & Galloway
1990,AKOMXO,1,12-Sep-90,1,25,50,60,1,1,3,1,0,0,0,0,100,8,80,13e,13,Westerly lowlands (England),ENG,Cumbria
1990,XQPYLJ,1,17-Jul-90,3,25,50,75,2,1,3,1,0,75,10,10,5,-7.75,0,18e,20,Uplands (England),ENG,Cumbria
1990,SZZFDN,1,13-Jul-90,1.5,5,5,5,1,1,3,1,0,5,90,5,0,-3.25,1,22e,22,Uplands (England),ENG,Durham
1990,QQYDJR,1,22-Aug-90,3,35,38,38,1,1,3,1,0,8,80,10,2,-3.25,85,27s,35,Lowlands (Scotland),SCO,Dumfries & Galloway
1990,TSIBRE,1,22-Aug-90,1,15,25,20,1,1,3,1,40,20,5,5,70,6.5,20,13s,26,Lowlands (Scotland),SCO,Dumfries & Galloway
1990,PKSLHM,1,10-Aug-90,1,11,14,7,2,1,3,1,0,40,50,9,1,-4.5,0,26s,34,Lowlands (Scotland),SCO,Dumfries & Galloway
1990,MNNPBO,1,08-Aug-90,3,10,15,12,2,1,3,1,0,30,30,30,10,2,0,27s,35,Lowlands (Scotland),SCO,Dumfries & Galloway
1990,TWVNHH,1,24-Aug-90,1.5,90,100,100,2,1,3,1,0,0,0,0,100,9.5,0,26s,34,Lowlands (Scotland),SCO,South Ayrshire
1990,SHKRQL,1,09-Sep-90,1.5,25,25,50,1,1,3,1,0,0,0,0,100,8,70,28s,36,Intermediate uplands and Islands (Scotland),SCO,Dumfries & Galloway
1990,AHIACC,1,13-Aug-90,1,2,2,2,2,1,3,1,0,0,90,8,2,-3.25,10,26s,34,Lowlands (Scotland),SCO,Dumfries & Galloway
1990,ZVXGSY,1,30-Jul-90,0.5,5,5,5,1,1,3,1,0,75,5,0,20,-6.5,100,25s,33,Lowlands (Scotland),SCO,Dumfries & Galloway
1990,WJHOZP,1,22-Sep-90,0.8,40,30,15,1,1,3,1,0,0,0,0,100,8,5,22e,22,Uplands (England),ENG,Northumberland
1990,UEVYHS,1,09-Sep-90,2,50,50,45,1,1,3,1,0,5,80,10,5,-3.25,30,16e,15,Westerly lowlands (England),ENG,Northumberland
1990,OIXPSH,1,24-Aug-90,1.5,45,50,25,1,1,3,1,0,5,85,10,5,-2,80,7s,25,Lowlands (Scotland),SCO,South Ayrshire
1990,UIGLFJ,1,22-Aug-90,0.5,35,40,35,5,1,3,1,0,80,15,0,5,-7.75,0,22s,30,True uplands (Scotland),SCO,South Ayrshire
1990,ZDMFRI,1,26-Aug-90,2,45,35,25,3,1,3,1,0,70,25,3,2,-6.5,0,22s,30,True uplands (Scotland),SCO,Dumfries & Galloway
1990,DWPADG,1,31-Aug-90,1,15,13,8,2,1,3,1,0,45,45,5,5,-5.5,0,28s,36,Intermediate uplands and Islands (Scotland),SCO,Dumfries & Galloway
1990,NZACAP,1,24-Sep-90,1.5,10,20,5,2,1,3,1,0,25,70,5,0,-4.5,0,28s,36,Intermediate uplands and Islands (Scotland),SCO,Dumfries & Galloway
1990,BVHYKF,1,26-Jul-90,1,15,10,2,2,1,3,1,5,30,60,10,0,-4.5,9,22s,30,True uplands (Scotland),SCO,Dumfries & Galloway
1990,AUMEYK,1,21-Sep-90,0.8,10,50,20,2,1,3,1,0,0,0,80,20,0,0,22e,22,Uplands (England),ENG,Northumberland
1990,UYZJMJ,1,20-Sep-90,1,20,50,25,1,1,3,1,0,0,0,0,100,8,100,25e,24,Easterly lowlands (England),ENG,Northumberland
1990,MJIHQZ,1,14-Nov-90,0.6,30,35,20,1,1,3,1,0,0,15,20,65,8,0,25e,24,Easterly lowlands (England),ENG,Northumberland
1990,HZXYKQ,1,30-Aug-90,2,15,15,5,3,1,3,1,0,30,55,10,5,-5.5,0,25s,33,Lowlands (Scotland),SCO,South Ayrshire
1990,SXVOJP,1,28-Aug-90,1.5,15,15,10,2,1,3,1,0,40,60,0,0,-5.5,5,21s,29,True uplands (Scotland),SCO,East Ayrshire
1990,ZWGBOD,1,28-Jul-90,3,10,15,5,1,1,3,1,0,60,30,5,5,-7.75,5,22s,30,True uplands (Scotland),SCO,Dumfries & Galloway
1990,EAHYYJ,1,04-Sep-90,0.5,5,10,5,3,1,3,1,10,80,20,0,0,-6.5,0,21s,29,True uplands (Scotland),SCO,Dumfries & Galloway
1990,ZKXWRH,1,04-Sep-90,0.3,10,10,10,1,1,3,1,0,0,80,10,10,-4.5,0,22s,30,True uplands (Scotland),SCO,South Lanarkshire
1990,QVIAYN,1,31-Aug-90,0.3,5,5,10,2,1,3,1,30,50,50,0,0,-6.5,5,22s,30,True uplands (Scotland),SCO,Dumfries & Galloway
1990,BBYZZW,1,19-Sep-90,2.5,14,10,15,2,1,3,1,0,80,10,5,5,-7.75,5,27s,35,Lowlands (Scotland),SCO,Scottish Borders
1990,PFCFRO,1,19-Sep-90,2.7,15,20,15,3,1,3,1,0,25,65,5,5,-4.5,5,27s,35,Lowlands (Scotland),SCO,Scottish Borders
1990,YBYWHW,1,21-Sep-90,0.3,10,15,10,2,1,3,1,0,0,0,5,95,8,0,22s,30,True uplands (Scotland),SCO,Northumberland
1990,KXFAEB,1,16-Sep-90,0.8,40,40,40,1,1,3,1,0,0,0,50,50,2,0,7s,25,Lowlands (Scotland),SCO,Argyll & Bute
1990,ERZTLR,1,20-Jul-90,0.9,5,15,5,1,1,3,1,0,5,75,0,20,-4.5,85,28s,36,Intermediate uplands and Islands (Scotland),SCO,East Ayrshire
1990,MPVOVJ,1,03-Jul-90,0.5,5,10,2,4,1,3,1,0,7,90,0,3,-3.25,0,23s,31,True uplands (Scotland),SCO,Scottish Borders
1990,HGUOAH,1,03-Oct-90,0.4,1,1,1,1,1,3,1,0,20,70,5,5,-4.5,1,23e,23,Uplands (England),ENG,Northumberland
1990,LDEDPH,1,22-Aug-90,0.3,2,5,2,1,1,3,1,0,30,50,10,10,-6.5,10,25e,24,Easterly lowlands (England),ENG,Northumberland
1990,DJYEXM,1,15-Sep-90,0.9,20,30,20,1,1,3,1,60,0,100,0,0,-3.25,60,18s,27,Intermediate uplands and Islands (Scotland),SCO,Argyll & Bute
1990,YERFOW,1,13-Sep-90,0.8,15,15,15,2,1,3,1,0,0,20,60,20,2,10,7s,25,Lowlands (Scotland),SCO,North Ayrshire
1990,RVGJUQ,1,24-Oct-90,1.6,8,20,5,3,1,3,1,0,10,70,20,0,-3.25,0,7s,25,Lowlands (Scotland),SCO,North Ayrshire
1990,PNSAFC,1,25-Oct-90,1,10,15,10,2,1,3,1,0,25,10,5,60,6.5,0,26s,34,Lowlands (Scotland),SCO,East Ayrshire
1990,YYKNUC,1,26-Oct-90,1.8,15,25,10,3,1,3,1,0,50,50,0,0,-5.5,5,22s,30,True uplands (Scotland),SCO,South Lanarkshire
1990,FIAYXI,1,09-Jun-90,0.3,22,20,15,3,1,3,1,0,25,60,0,15,-4.5,0,22s,30,True uplands (Scotland),SCO,Scottish Borders
1990,DKUMUJ,1,06-Jun-90,2.1,15,30,35,3,1,3,1,0,60,30,5,5,-6.5,0,27s,35,Lowlands (Scotland),SCO,Scottish Borders
1990,FAQWDV,1,13-Jun-90,5.5,5,5,3,3,1,3,1,0,40,50,5,5,-3.25,50,27s,35,Lowlands (Scotland),SCO,Scottish Borders
1990,JKBXAQ,1,14-Jun-90,0.5,5,7,2,1,1,3,1,0,0,30,10,60,6.5,0,25s,33,Lowlands (Scotland),SCO,Scottish Borders
1990,FAFYWJ,1,27-Jul-90,0.6,15,15,15,2,1,3,1,0,0,10,40,50,2,90,25e,24,Easterly lowlands (England),ENG,Northumberland
1990,GCFNAZ,1,18-Sep-90,1,15,20,15,3,1,3,1,0,5,10,0,85,9.5,1,13s,26,Lowlands (Scotland),SCO,Argyll & Bute
1990,MENREM,1,14-Sep-90,1.2,5,10,5,2,1,3,1,0,80,20,0,0,-6.5,15,7s,25,Lowlands (Scotland),SCO,North Ayrshire
1990,QASSZL,1,23-Oct-90,1.7,10,25,10,3,1,3,1,0,60,40,0,0,-5.5,0,18s,27,Intermediate uplands and Islands (Scotland),SCO,North Ayrshire
1990,ESYNMZ,1,31-Oct-90,2.8,10,20,30,2,1,3,1,30,80,10,0,10,-7.75,0,27s,35,Lowlands (Scotland),SCO,North Ayrshire
1990,MEYBKX,1,29-Oct-90,0.6,10,15,10,3,1,3,1,0,10,90,0,0,-3.25,0,25s,33,Lowlands (Scotland),SCO,East Renfrewshire
1990,XGHBPM,1,20-Jun-90,0.8,1,1,1,1,1,3,1,0,0,5,0,95,6.5,60,25s,33,Lowlands (Scotland),SCO,South Lanarkshire
1990,RLJGXU,1,31-May-90,0.2,15,15,15,1,1,3,1,0,0,0,0,100,6.5,90,22s,30,True uplands (Scotland),SCO,Scottish Borders
1990,SQOIDY,1,30-May-90,0.5,5,5,2,3,1,3,1,0,5,50,5,40,-4.5,0,19s,28,Intermediate uplands and Islands (Scotland),SCO,Scottish Borders
1990,WKTPKP,1,13-Jun-90,0.5,15,15,15,1,1,3,1,0,60,10,20,10,-6.5,0,25s,33,Lowlands (Scotland),SCO,Scottish Borders
1990,WEPWXB,1,19-Sep-90,0.8,20,20,20,3,1,3,1,0,90,5,0,5,-7.75,10,30s,38,Intermediate uplands and Islands (Scotland),SCO,Argyll & Bute
1990,YJORQV,1,21-Jun-90,2.5,18,25,25,2,1,3,1,10,50,30,10,0,-6.5,0,27s,35,Lowlands (Scotland),SCO,North Lanarkshire
1990,SEQVXD,1,01-Jun-90,2,40,50,50,2,1,3,1,0,5,0,0,95,6.5,5,27s,35,Lowlands (Scotland),SCO,"Edinburgh, City of"
1990,MRCWBN,1,13-Aug-90,0.5,15,15,15,1,1,3,1,0,80,15,0,5,-6.5,50,19s,28,Intermediate uplands and Islands (Scotland),SCO,East Lothian
1990,XGOPTX,1,05-Jul-90,0.3,10,15,15,3,1,3,1,0,25,0,0,75,6.5,0,18s,27,Intermediate uplands and Islands (Scotland),SCO,Scottish Borders
1990,ADHCCF,1,15-Oct-90,3.2,20,40,25,4,1,3,1,0,60,40,0,0,-7.75,0,13s,26,Lowlands (Scotland),SCO,Argyll & Bute
1990,FTFESP,1,16-Oct-90,2.5,20,50,20,4,1,3,1,0,80,20,0,0,-7.75,30,18s,27,Intermediate uplands and Islands (Scotland),SCO,Argyll & Bute
1990,FBUJKB,1,24-Jul-90,1,15,20,15,2,1,3,1,0,0,10,50,40,2,20,26s,34,Lowlands (Scotland),SCO,Stirling
1990,LGDSKO,1,07-Jun-90,2,25,25,25,1,1,3,1,0,0,0,0,100,6.5,0,26s,34,Lowlands (Scotland),SCO,East Lothian
1990,YMMERA,1,04-Sep-90,0.5,5,15,5,2,1,3,1,0,50,50,0,0,-6.5,0,13s,26,Lowlands (Scotland),SCO,Argyll & Bute
1990,RYNWUT,1,25-Oct-90,2.5,15,10,15,3,1,3,1,0,20,80,0,0,-4.5,0,30s,38,Intermediate uplands and Islands (Scotland),SCO,Argyll & Bute
1990,BRKIBT,1,13-Oct-90,1.1,10,30,15,4,1,3,1,30,70,30,0,0,-7.75,20,28s,36,Intermediate uplands and Islands (Scotland),SCO,Argyll & Bute
