YEAR,SQUARE  ,SITE_ID,SAMPLE_DATE,WATER_WIDTH,DEPTH1,DEPTH2,DEPTH3,SURF_VEL_CAT,SAMPLING_TIME,METHOD,ROCK_PAVEMT,BOULDER_COBBLE,PEBBLE_GRAVEL,SAND,SILT_CLAY,LC07,LC07_NUM,EZ_DESC_07,COUNTRY,COUNTY07
2007,XGHBPM,1,11-Jun-07,0.6,10,10,9,1,4,1,0,1,0,0,99,25s,33,Lowlands (Scotland),SCO,South Lanarkshire
2007,RLJGXU,1,31-Oct-07,0.2,,15,,2,,1,0,0,40,40,20,22s,30,True uplands (Scotland),SCO,Scottish Borders
2007,SQOIDY,1,17-May-07,0.5,7,7,7,3,4,1,0,0,95,2,3,19s,28,Intermediate uplands and Islands (Scotland),SCO,Scottish Borders
2007,WKTPKP,1,18-Jun-07,0.5,5,15,15,2,4,1,0,0,50,40,10,25s,33,Lowlands (Scotland),SCO,Scottish Borders
2007,WEPWXB,1,08-Aug-07,0.7,20,20,20,2,,1,0,75,20,5,0,30s,38,Intermediate uplands and Islands (Scotland),SCO,Argyll & Bute
2007,HWJNVP,1,06-Nov-07,1.7,18,21,11,3,,1,0,90,9,1,0,18s,27,Intermediate uplands and Islands (Scotland),SCO,Argyll & Bute
2007,YJORQV,1,22-Jun-07,3.5,30,35,30,4,4,1,20,75,20,4,1,27s,35,Lowlands (Scotland),SCO,North Lanarkshire
2007,SEQVXD,1,28-May-07,1.75,12,14,10,3,4,1,0,30,45,15,10,27s,35,Lowlands (Scotland),SCO,"Edinburgh, City of"
2007,MRCWBN,1,27-Aug-07,1.1,20,20,20,2,4,1,0,20,55,25,0,19s,28,Intermediate uplands and Islands (Scotland),SCO,East Lothian
2007,XGOPTX,1,28-Aug-07,0.5,10,12,10,1,,1,0,0,10,0,90,18s,27,Intermediate uplands and Islands (Scotland),SCO,Scottish Borders
2007,ADHCCF,1,20-Sep-07,1.4,12,10,8,3,,1,0,65,25,10,0,13s,26,Lowlands (Scotland),SCO,Argyll & Bute
2007,FTFESP,1,02-Oct-07,2.1,16,17,15,3,,1,5,85,14,1,0,18s,27,Intermediate uplands and Islands (Scotland),SCO,Argyll & Bute
2007,FBUJKB,1,08-Oct-07,1.1,35,45,45,4,,1,0,0,0,95,5,26s,34,Lowlands (Scotland),SCO,Stirling
2007,ZUKDMR,1,31-Oct-07,1.2,5,9,12,3,,1,0,46,50,4,0,19s,28,Intermediate uplands and Islands (Scotland),SCO,Stirling
2007,LGDSKO,1,21-May-07,1.75,15,5,15,3,,1,0,0,10,90,0,26s,34,Lowlands (Scotland),SCO,East Lothian
2007,YMMERA,1,16-Aug-07,0.6,5,5,5,2,,1,65,70,30,0,0,13s,26,Lowlands (Scotland),SCO,Argyll & Bute
2007,RYNWUT,2,12-Aug-07,0.8,15,25,30,2,,1,0,90,10,0,0,30s,38,Intermediate uplands and Islands (Scotland),SCO,Argyll & Bute
2007,BRKIBT,1,05-Oct-07,1.2,6,8,5,3,,1,35,85,10,5,0,28s,36,Intermediate uplands and Islands (Scotland),SCO,Argyll & Bute
2007,CDHIYE,1,04-Oct-07,0.5,30,30,30,2,,16,0,10,5,0,85,21s,29,True uplands (Scotland),SCO,Argyll & Bute
2007,YFJGHR,1,09-Oct-07,1.8,15,15,15,3,,1,40,85,10,5,0,26s,34,Lowlands (Scotland),SCO,Stirling
2007,SZQTHT,1,30-Oct-07,0.75,5,5,2,2,,1,0,80,19,1,0,19s,28,Intermediate uplands and Islands (Scotland),SCO,Stirling
2007,GWRSAM,1,13-Jun-07,0.3,3,3,3,1,4,1,0,1,80,0,19,26s,34,Lowlands (Scotland),SCO,Fife
2007,IGSFRL,1,02-Oct-07,1.2,12,19,11,3,,1,40,80,20,0,0,18s,27,Intermediate uplands and Islands (Scotland),SCO,Argyll & Bute
2007,UBXRLL,1,06-Oct-07,1.25,13,10,8,3,,1,20,80,20,0,0,24s,32,True uplands (Scotland),SCO,Stirling
2007,VXSVLY,1,02-Jul-07,0.6,10,10,10,3,4,1,0,80,20,0,0,25s,33,Lowlands (Scotland),SCO,Perth & Kinross
2007,KIZQZD,2,26-Jun-07,1.8,20,15,20,4,4,1,0,15,83,2,0,27s,35,Lowlands (Scotland),SCO,Perth & Kinross
2007,CKLUFF,1,02-Jul-07,0.95,25,27,15,1,,1,0,1,0,0,99,26s,34,Lowlands (Scotland),SCO,Fife
