"visit_code","date","year","survey_year","survey_season","site","trapping_night","date_of_last_fire","x_elliotts_open","x_cages_open","comments"
"161-7-20-2",2016-12-09,2016,"161","1617","site_7-20","2",2003-12-22,10,6,""
"161-7-20-3",2016-12-10,2016,"161","1617","site_7-20","3",2003-12-22,10,6,""
"161-7-44-1",2016-12-08,2016,"161","1617","site_7-44","1",2003-12-22,10,6,""
"161-7-44-2",2016-12-09,2016,"161","1617","site_7-44","2",2003-12-22,10,6,""
"161-7-44-3",2016-12-10,2016,"161","1617","site_7-44","3",2003-12-22,10,6,""
"161-7-46-1",2016-12-11,2016,"161","1617","site_7-46","1",2003-12-22,10,6,""
"161-7-46-2",2016-12-12,2016,"161","1617","site_7-46","2",2003-12-22,10,6,""
"161-7-46-3",2016-12-13,2016,"161","1617","site_7-46","3",2003-12-22,10,6,""
"161-7-73-1",2016-12-08,2016,"161","1617","site_7-73","1",2003-12-22,10,6,""
"161-7-73-2",2016-12-09,2016,"161","1617","site_7-73","2",2003-12-22,10,6,""
"161-7-73-3",2016-12-10,2016,"161","1617","site_7-73","3",2003-12-22,10,6,""
"161-7-78-1",2016-12-11,2016,"161","1617","site_7-78","1",2003-12-22,10,6,"Nil Captures"
"161-7-78-2",2016-12-12,2016,"161","1617","site_7-78","2",2003-12-22,10,6,"Nil Captures"
"161-7-78-3",2016-12-13,2016,"161","1617","site_7-78","3",2003-12-22,10,6,"Nil Captures"
"161-7-82-1",2016-12-08,2016,"161","1617","site_7-82","1",2003-12-22,10,6,""
"161-7-82-2",2016-12-09,2016,"161","1617","site_7-82","2",2003-12-22,10,6,""
"161-7-82-3",2016-12-10,2016,"161","1617","site_7-82","3",2003-12-22,10,6,""
"161-7-84-1",2016-12-11,2016,"161","1617","site_7-84","1",2003-12-22,10,6,""
"161-7-84-2",2016-12-12,2016,"161","1617","site_7-84","2",2003-12-22,10,6,""
