Date	Site	Exposure	Transect #	Tidal Height	Acrosiphonia spp	Ahnfeltia pacifica	Alaria marginata	Analipus japonicus	Chondracanthus exasperatus	Cladophora spp	Codium fragile	Copamania spp	Corallina vancouveriensis	Egregia menziesii	Encrusting coralline algae	Endocladia muricata	Enteromorpha intestinalis	Filamentous rhodophyta	Fucus spp	Gastroclonium coulteri	Halosaccion glandiforme	Hedophyllum sessile	Laminaria setchelli	Leathesia difformis	Mastocarpus papillatus	Mazzaella splendens	Microcladia borealis	Microcladia coulteri	Nemalion spp	Neorhodomela larix	Odonthalia floccosa	Pelvitiopsis spp	Petrocelis middendorfii	Phyllospadix scouleri	Porphyra spp	Prasiola spp	Prionitis spp	Sargassum muticum	Scytosiphon lomentaria	Ulva spp	Bare rock
"2-Aug-97"	"Wizard"	"Exposed"	"2"	2	0	0	0	0	0	5	0	0	5	0	25	0	0	10	47	0	10	0	0	0	30	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0.5	0
"2-Aug-97"	"Wizard"	"Exposed"	"2"	2.5	0	0	0	0	0	5	0	0	0.5	0	0	0	0	0	58	0	0	0	0	0	25	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0.5	0
"2-Aug-97"	"Wizard"	"Exposed"	"2"	3	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0
"2-Aug-97"	"Wizard"	"Exposed"	"2"	3.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0.5	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0
"2-Aug-97"	"Wizard"	"Exposed"	"3"	0.5	0	0	0	0	0	0	0	0	0	0	10	0	0	30	0	0	0	0	0	0	0.5	20	0	0	0	0	0	0	15	0	0	0	35	0	0	0	0
"2-Aug-97"	"Wizard"	"Exposed"	"3"	1	0	0	0	0	0	0	0	0	0	5	5	0	0	15	0	0	0	0	0	0	50	25	0	0	0	0	0	0	0	0	0	0	15	0	0	5	0
"2-Aug-97"	"Wizard"	"Exposed"	"3"	1.5	0	0	0	0	0	0	0	0	40	0	10	0	0	0.5	85	0	5	0	0	0	15	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0.5	0
"2-Aug-97"	"Wizard"	"Exposed"	"3"	2	0	0	0	0	0	15	0	0	5	0	5	0	10	10	20	0	10	0	0	0	15	0	0	0	0	0	0	0	15	0	0	0	0	0	0	5	0
"2-Aug-97"	"Wizard"	"Exposed"	"3"	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"2-Aug-97"	"Wizard"	"Exposed"	"3"	3	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0
"2-Aug-97"	"Wizard"	"Exposed"	"3"	3.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"2-Aug-97"	"Wizard"	"Exposed"	"4"	0.5	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	40	0	25	0	0	0	0	25	0	0	0	70	0	0	0	0
"2-Aug-97"	"Wizard"	"Exposed"	"4"	1	0	0	0	0	0	0	0	0	5	15	5	0	0	25	0	0	0	0	0	0	10	40	0	0	0	0	0	0	0	0	0	0	35	0	0	5	0
"2-Aug-97"	"Wizard"	"Exposed"	"4"	1.5	0	0	0	0	0	0	10	0	35	8	10	0	0	0	51	0	5	0	0	0	5	0	0	0	0	0	0	0	10	0	0	0	0	0	0	5	0
